id,from,type,text,date,year,month,day,hour,message_length,count_emoji,emoji
15,ОТЦЫ РЯДОМ online,message,,2024-01-02 20:46:34,2024,1,Tuesday,20,0,0,[]
16,ОТЦЫ РЯДОМ online,message,,2024-01-02 20:46:34,2024,1,Tuesday,20,0,0,[]
17,ОТЦЫ РЯДОМ online,message,,2024-01-02 20:46:34,2024,1,Tuesday,20,0,0,[]
18,ОТЦЫ РЯДОМ online,message,      ,2024-01-04 16:52:38,2024,1,Thursday,16,6,0,[]
19,ОТЦЫ РЯДОМ online,message,,2024-01-04 16:52:38,2024,1,Thursday,16,0,0,[]
20,ОТЦЫ РЯДОМ online,message,"Рецензия на статью о перекосах в применении законодательных актов, проблемах исполнения решений судов, манипуляциях общественным мнением в сфере бракоразводных процессов и детско-родительских отношений",2024-01-04 16:57:38,2024,1,Thursday,16,201,0,[]
21,ОТЦЫ РЯДОМ online,message,"🎓Просвещение. Образование. Наука 

Конференция «Вопросы организации взаимодействия субъектов педагогического и воспитательного процесса, мотивации обучающихся и популяризации в сферах науки и просвещения» 

Москва, 26 ноября 2023 года 

В рамках содействия исполнению задачи развития науки и высшего образования в Российской Федерации, определенной Стратегией научно-технологического развития Российской Федерации, утвержденной Указом Президента Российской Федерации от 1 декабря 2016 года № 642, Стратегией национальной безопасности Российской Федерации, утвержденной Указом Президента Российской Федерации от 2 июля 2021 года № 400, указами Президента Российской Федерации от 7 мая 2018 года № 204 «О национальных целях и стратегических задачах развития Российской Федерации на период до 2024 года» и от 21 июля 2020 года № 474 «О национальных целях развития Российской Федерации на период до 2030 года» социально ориентированной Межрегиональной общественной организации содействия сохранению духовного, культурного и исторического наследия, популяризации спорта, формированию и развитию личности и общества, патриотическому воспитанию «Отцы рядом» (далее – МОО «Отцы рядом») проведена конференция с участием представителей общеобразовательных учреждений и высших учебных заведений на тему «Вопросы организации взаимодействия субъектов педагогического и воспитательного процесса, мотивации обучающихся и популяризации в сферах науки и просвещения». 

Цель конференции - обсуждение ключевых проблем воспитательной, образовательной и научной сфер деятельности, выявление действенных практик решения указанных проблем, доведение перспективных результатов сотрудничества в образовательной и дальнейшей трудовой деятельности (целевое обучение), обсуждения путей улучшения взаимодействия между государственными, общественными и коммерческими структурами, а также между субъектами образовательного и трудового права. 
В рамках деятельности команды Департамента просветительских, образовательных и научных проектов, конвергенции специальных программ и Департамента спортивных проектов и программ популяризации здорового образа жизни МОО «Отцы рядом» реализуются социально значимые федеральные и муниципальные мероприятия содействия повышению интереса детей и молодежи к мероприятиям развития научно-исследовательского потенциала государства и популяризация науки среди школьников, студентов и молодых ученых России, физической культуры, спорта, здорового образа жизни через развитие культурно-воспитательного потенциала образовательных программ, практической ценности просвещения, образовательных модулей и проведения пропаганды общечеловеческих ценностей. 

В быстро меняющихся внешних и внутренних условиях большое значение приобретают ускоренное развитие высокотехнологичных секторов российской экономики, готовность отечественной системы высшего образования и российской науки к ответу на глобальные вызовы. Особое внимание уделяется подготовке кадров по приоритетным направлениям научно-технологического развития. 

«Институты гражданского общества играют большую роль в формировании положительного образа профессиональных квалифицированных кадров и содействуют развитию просветительских, образовательных и научных проектов. Однако существует ряд проблем, связанных с планированием и реализацией государственной политики в сфере науки и высоких технологий, оценкой результативности научных исследований, организацией научной и научно-технической экспертизы, формированием комплексных подходов к развитию высшего образования и подготовке кадров для ключевых отраслей экономики. В этом процессе общественного контроля именно общественные коллективные силы обладают возможностью влиять напрямую на мотивационную и созидательную составляющую членов общественных отношений», - подчеркнул Иван Курбаков, Председатель МОО «Отцы рядом», открывая конференцию.",2024-01-05 17:08:10,2024,1,Friday,17,3849,1,['🎓']
22,ОТЦЫ РЯДОМ online,message,"В ходе конференции участники также обсудили решение проблем взаимодействия поколений, в том числе педагогов и учеников, поддержания мотивации среди молодёжи и популяризации науки и проектной деятельности. Молодые педагоги, наставники и тренеры поделились своим опытом кооперации, включения в деятельность, рассказали об интересных кейсах в своей карьере. Учащиеся и студенты престижных вузов рассказали о своей проектной деятельности, продемонстрировали презентации и поделились своим видением проблемы понимания между поколениями, выделили основные аспекты заинтересованности в профессиональном жизненном треке. 

Екатерина Лебединская, филолог, учитель русского языка и литературы, представила и раскрыла тезис о важной роли семьи в ходе развития ребёнка. 

Игорь Голишев, учитель математики, разъяснил важность создания площадок для проведения диалога с учащимися, которыми могут стать совместные интерактивные мероприятия вне специализированных учреждений, места, где будущие трудовые ресурсы могут прочувствовать свой вклад, пусть пока игровой, в историю человечества. 

Виктор Самохвалов, общественный деятель, член Московской областной региональной общественной организации «Содействие реализации прав отцов и детей», доложил о сутевой составляющей такого понятия как «интересы ребёнка», системах воспитания в современных условиях, опираясь в том числе и на собственный опыт, одной из составляющих которой служит патриотическое воспитание – вовлечение детей в деятельность общественных организаций. Кроме того, специалист подчеркнул роль воспитательного процесса в становлении человека как квалифицированного субъекта трудовых правоотношений: этот процесс длится всю жизнь, важно иметь опорные точки, которыми являются родители, школы и общественные организации. 

Денис Чистилин, военнослужащий, полковник Вооружённых Сил Российской Федерации, ветеран боевых действий, подчеркнул важность выстроенного процесса совместного воспитания детей (в том числе и в случае бракоразводных процессов и негативных эмоциональных аспектах), формирования сознания ребёнка (необходимость оградить от отрицательных когнитивных воздействий любой формы девиации из информационного поля), осознания ответственности за воспитание детей как первостепенный фактор патриотического воспитания. Кроме того, сделан акцент на необходимости проведения тщательного контроля образовательных программ в частных образовательных организациях. Рекомендовано включение краткой политико-экономической справки в школьные занятия для освещения обстановки в мире и стране. 

Валерий Кутузов, психолог, член родительского сообщества, многодетный отец, акцентировал внимание на обязательности развития личности ребёнка, подростка, осуществления просвещения воспитателей и педагогов, в том числе и в рамках правовых дисциплин, и в сфере психологии. Немаловажным аспектом отмечены идеологические установки и идеология родителей, которые оказывают непосредственное влияние на мировоззрение ребёнка, равно как и влияние социума на учащегося и студента. 
Екатерина Козина, студентка 1 курса одного из передовых инженерно-технических вузов России, в своём докладе подчеркнула большое значение, высокую ценность и актуальность осознания роли науки в обществе и государстве, возрастающее стремление к науке и исследовательской деятельности, имеющиеся позитивные практики, используемые в вузе для приобщения студентов к прикладной деятельности и развитию углубленных знаний о предмете исследования.",2024-01-05 17:08:10,2024,1,Friday,17,3455,0,[]
23,ОТЦЫ РЯДОМ online,message,"Александр Чугунов, депутат совета депутатов г. Москвы, председатель управляющего совета школы «Дмитровский» им. В.П. Кислякова, руководитель службы персонала ПАО «НПО «Алмаз» им. Академика А.А. Расплетина, довёл до участников конференции практические аспекты задействования военно-патриотического юнармейского движения в постижении исследовательской деятельности, расширении, повышении уровня дисциплины среди детей и взрослых, рассказал о проводимом сотрудничестве со школами и университетами в рамках привлечении молодых кадров на предприятия оборонно-промышленного комплекса, проведении практики, а также дальнейшего трудоустройства. 

Карцова Мария и Ульяна Руденко, учащиеся десятого класса, рассказала о видении школьниками проблемы взаимодействия между поколениями и о причинах некорректного поведения со стороны младшего поколения. Акцент сделан на том, что с каждым ребенком должен стоять взрослый человек, который сможет замотивировать несовершеннолетнего на получение знаний о полезной деятельности и приобщить к научно-практическим и исследовательским проектам. Высказано мнение о том, что нельзя разделять семью и школу в рамках процесса воспитания и обучения, эта система должны быть слаженной и постоянно взаимодействующей. 

Подвысоцкий Егор, учащийся одиннадцатого класса, в своем выступлении выразил потребность в функциональном наполнении школ, в организации школьных предуниверсариев, в изменении подхода в преподавании технических дисциплин (больше интерактива, разъяснений на близком к школьному уровню), в усилении взаимодействия сотрудников образовательных учреждений с родителями в форме диалога. 

Мусхажиев Измаил, учащийся одиннадцатого класса, подчеркнул важность взаимодействия школы с родительским сообществом, расстановки акцентов на сильных сторонах несовершеннолетнего. 
Коваль Алиса и Казакова Полина, учащиеся десятого медиакласса, рассказали о влиянии спорта на жизнь как детского, так и взрослого организма, причем спорт влияет не только на физическое развитие, но и на ментальное. Физические нагрузки и спорт воспитывают дисциплину и косвенно влияют на улучшение успеваемости в школе (улучшается кровоток, проиходит привыкание к режиму). 

Михаил Пересторонин и Леонид Леусенко, студенты 4 курса одного из элитных вузов России, продемонстрировали участникам свои научно-практические проекты «ГеФест» и «Географический разговорный клуб «Геракл», цель которых популяризовать географические дисциплины, расширить кругозор и эрудицию членов-участников, ознакомить с фактами о нашей планете и рассказать о взаимосвязях и закономерностях в научной, учебной и методической сферах. Молодые исследователи рассказали о том, какую важную роль в выборе будущей специальности и направления деятельности сыграла семья и мотивация, полученная от старших наставников – родителей. В планах у ребят вывести свои географические проекты в видеоформат и организовать книжный клуб. В школе будущие учёные получили необходимые познавательные навыки, в университете применяют их непрерывно в учебном процессе и во время разнообразных практик. 

Кузнецов Глеб и Яицкий Степан, студенты 2 курса головного университета страны, изложили свои умозаключения о пользе комплексного подхода в образовании и научных исследованиях, при написании курсовых работ и дипломов. Второкурсники высказали тезис о том, что будущее за человеком, способным анализировать динамику развития мировых событий, национальные и международные аспекты политики, экономики, социальных процессов, обладающим географической, правовой и финансовой грамотностью, не говоря уже о базовых «жёстких» и «мягких» навыках. Ребята подчеркнули, что как семья, так и единомышленники являются важным мотиватором для их развития как личностей, а расширение кругозора влияет на мнение и желание ребёнка, ведь чем больше человек знает, тем больше у него интеллектуального выбора.",2024-01-05 17:08:10,2024,1,Friday,17,3845,0,[]
24,ОТЦЫ РЯДОМ online,message,"Давид Цхварашвили, предприниматель, юрист, изложил на примере своего жизненного трека как семья повлияла на выбор будущей профессии, как он решил заниматься своим делом после немалого срока пребывания в рядах Министерства внутренних дел Российской Федерации. При этом, учитывая профессиональный опыт взаимодействия с несовершеннолетними в рамках служебных полномочий, участник конференции заострил внимание на необходимости охранять и ограждать детей от негативного информационного фона, отрицательных последствий путём просвещения и занятости в интересующих областях знаний, подчеркнул важную роль отца и матери, учителей и педагогов, а также круга общения в воспитании будущего поколения. 

По итогам конференции выделены основные опорные выводы, которые позволят усовершенствовать взаимодействие между учащимися, студентами, педагогами, научным сообществом и государством. Мероприятие имело просветительско-прикладное значение и представило интерес как для сообщества учеников и студентов, так и для профессиональных педагогов, профессоров, тренеров, администраций учебных заведений, родителей учащихся, представителей законодательных и исполнительных органов власти Российской Федерации, коммерческих структур. 

              ",2024-01-05 17:08:10,2024,1,Friday,17,1231,0,[]
25,ОТЦЫ РЯДОМ online,message,              ,2024-01-05 17:09:00,2024,1,Friday,17,14,0,[]
26,ОТЦЫ РЯДОМ online,message,,2024-01-05 17:09:00,2024,1,Friday,17,0,0,[]
27,ОТЦЫ РЯДОМ online,message,,2024-01-05 17:09:00,2024,1,Friday,17,0,0,[]
